name,word,count,positive,negative,review_ids
service,service,18,88,11,"['qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'a14-CKEdqDKQ9FFqCqnlSg', 'QIQD9mAIJi3-dPC-mHBTbQ', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'HX8SuA-ss6kFraRe3eiHZQ', 'ODryH6OmnyipNsUgRWh2KA', 'Go7AEgEVOFH8TQUBkj6pbw', 'sjQxKIdhrhwbRTvn8XVt_Q', 'swSzPxOOjhJSw_6N1OZXrA', '1TFEy7twpPcFPXPPZvRVBw', 'loqouE-XAuFcDRcdlxRnhQ', 'ypNwIPenE77OJ9klbBYZow', 'ENQgulGSN9rYU9BlCtKM4Q', 'PirkXZ2tktS_-RZNy_Jeiw', 'zwvZRSXv-LBK4S8zkDSq_Q', 'vHbn8Kek20VfdXtr-QXUVg']"
spinach,spinach,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '6R4MnLqSUftZnP701hHYKQ']"
needed,needed,2,100,0,"['BhAqY5yi14TBm5eDeTlUDg', '9FQQxVdSk_4xuqIBzvUN9g']"
shrimp fettuccine,shrimp fettuccine,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'vHbn8Kek20VfdXtr-QXUVg']"
wonderful,wonderful,2,100,0,"['uwv745L_6dRM4YzKvfM4Gw', 'sjQxKIdhrhwbRTvn8XVt_Q']"
chocolate creme brulee,chocolate creme brulee,3,100,0,"['loqouE-XAuFcDRcdlxRnhQ', 'chC_bz58cHcbNauF4H0Muw', 'uwv745L_6dRM4YzKvfM4Gw']"
5 stars,5 stars,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw']"
serve,serve,2,50,50,"['Y1esjrYEnPYGUzfXstQkCQ', 'QIQD9mAIJi3-dPC-mHBTbQ']"
part,part,3,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q']"
boyfriend,boyfriend,4,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'swSzPxOOjhJSw_6N1OZXrA', 'ENQgulGSN9rYU9BlCtKM4Q', '6R4MnLqSUftZnP701hHYKQ']"
loved,loved,3,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', '6R4MnLqSUftZnP701hHYKQ', 'gtc5YWKUpJ6bdmChBHBE5g']"
kind,kind,3,100,0,"['ypNwIPenE77OJ9klbBYZow', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q']"
specials,specials,3,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'nqnqAqKeLPDTKmp7t_7s0A', 'ODryH6OmnyipNsUgRWh2KA']"
seated,seated,4,100,0,"['sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q', 'zwvZRSXv-LBK4S8zkDSq_Q', '_12JjluBanmqfpQnNl5wSQ']"
matter,matter,2,100,0,"['zadySdxEp2ED9CO42k22lw', '6R4MnLqSUftZnP701hHYKQ']"
supposed,supposed,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'nqnqAqKeLPDTKmp7t_7s0A']"
coffee roasted chicken,coffee roasted chicken,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '6R4MnLqSUftZnP701hHYKQ']"
pedestrian,pedestrian,2,100,0,"['gtc5YWKUpJ6bdmChBHBE5g', 'AnRtrp3uAEZWJIJfiuVchw']"
crab puff pastry,crab puff pastry,2,50,50,"['9FQQxVdSk_4xuqIBzvUN9g', 'QIQD9mAIJi3-dPC-mHBTbQ']"
sat,sat,3,66,33,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', 'QIQD9mAIJi3-dPC-mHBTbQ']"
dishes,dishes,2,100,0,"['9FQQxVdSk_4xuqIBzvUN9g', '_12JjluBanmqfpQnNl5wSQ']"
filet,filet,2,100,0,"['AnRtrp3uAEZWJIJfiuVchw', 'chC_bz58cHcbNauF4H0Muw']"
play,play,2,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'loqouE-XAuFcDRcdlxRnhQ']"
cheesecake,cheesecake,2,100,0,"['sz3vax-yr104diI1-WCo_A', '_12JjluBanmqfpQnNl5wSQ']"
piano man,piano man,2,100,0,"['ypNwIPenE77OJ9klbBYZow', 'uD9slnbjoUeBITIFIyjwQw']"
plenty,plenty,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'gtc5YWKUpJ6bdmChBHBE5g']"
tired,tired,2,100,0,"['sz3vax-yr104diI1-WCo_A', 'nqnqAqKeLPDTKmp7t_7s0A']"
forever,forever,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', '9FQQxVdSk_4xuqIBzvUN9g']"
don,don,9,100,0,"['vHbn8Kek20VfdXtr-QXUVg', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'jIBNaoFtydbke3n1oVNr_A', 'sjQxKIdhrhwbRTvn8XVt_Q', 'zadySdxEp2ED9CO42k22lw', 'sz3vax-yr104diI1-WCo_A', 'loqouE-XAuFcDRcdlxRnhQ', 'qLJZyg5zbPdnu7yEOWcS4Q', 'QZ3cfoU3qRyjDtbPnvcsPw']"
yelp reviews,yelp reviews,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'a6Mb8kUWBJhgIvuCl6P8TA']"
cramped,cramped,2,50,50,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'BhAqY5yi14TBm5eDeTlUDg']"
crawfish,crawfish,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'chC_bz58cHcbNauF4H0Muw']"
left,left,3,66,33,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'QIQD9mAIJi3-dPC-mHBTbQ', 'sjQxKIdhrhwbRTvn8XVt_Q']"
atmosphere,atmosphere,11,100,0,"['a14-CKEdqDKQ9FFqCqnlSg', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'BhAqY5yi14TBm5eDeTlUDg', 'ODryH6OmnyipNsUgRWh2KA', 'JVrGn1gjDLr4c2aDke9IXQ', 'I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q', 'gtc5YWKUpJ6bdmChBHBE5g', 'CxBfCjnKPRuDIkzXUaCWPw', 'vHbn8Kek20VfdXtr-QXUVg']"
overpriced,overpriced,3,66,33,"['WlB4wq4ry4FRru9uxy4XZg', 'UjV1OQSB0g5TJkdDD53_Gw', '1Aq9JubmGVuupMxKTbi3Ig']"
chicken,chicken,2,50,50,"['ENQgulGSN9rYU9BlCtKM4Q', 'QIQD9mAIJi3-dPC-mHBTbQ']"
pleased,pleased,2,100,0,"['loqouE-XAuFcDRcdlxRnhQ', 's6TKXDkzihTGGn05wjcNbA']"
staff,staff,4,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'loqouE-XAuFcDRcdlxRnhQ', 'nqnqAqKeLPDTKmp7t_7s0A', 'Shfqe7csAXA6zXsuox_QcQ']"
waited,waited,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'nqnqAqKeLPDTKmp7t_7s0A']"
slow,slow,2,0,100,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'QIQD9mAIJi3-dPC-mHBTbQ']"
quaint,quaint,3,100,0,"['loqouE-XAuFcDRcdlxRnhQ', 'uD9slnbjoUeBITIFIyjwQw', 'gtc5YWKUpJ6bdmChBHBE5g']"
menu,menu,5,100,0,"['sz3vax-yr104diI1-WCo_A', 'Y1esjrYEnPYGUzfXstQkCQ', 'HX8SuA-ss6kFraRe3eiHZQ', 'qLJZyg5zbPdnu7yEOWcS4Q', '_12JjluBanmqfpQnNl5wSQ']"
rich,rich,5,100,0,"['sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q', 'PirkXZ2tktS_-RZNy_Jeiw', '6R4MnLqSUftZnP701hHYKQ', '_12JjluBanmqfpQnNl5wSQ']"
rice,rice,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', '9FQQxVdSk_4xuqIBzvUN9g']"
plate,plate,2,50,50,"['QIQD9mAIJi3-dPC-mHBTbQ', '_12JjluBanmqfpQnNl5wSQ']"
appetizer,appetizer,7,85,14,"['9FQQxVdSk_4xuqIBzvUN9g', 'QIQD9mAIJi3-dPC-mHBTbQ', 'sjQxKIdhrhwbRTvn8XVt_Q', '_12JjluBanmqfpQnNl5wSQ', 'sz3vax-yr104diI1-WCo_A', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q']"
perfection,perfection,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', '1TFEy7twpPcFPXPPZvRVBw']"
raspberry dressing,raspberry dressing,2,100,0,"['s6TKXDkzihTGGn05wjcNbA', '9FQQxVdSk_4xuqIBzvUN9g']"
romantic,romantic,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'wsjvl5gLfcctdcKim8odEw']"
summary,summary,2,100,0,"['sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q']"
bad,bad,5,80,20,"['ypNwIPenE77OJ9klbBYZow', 'Y1esjrYEnPYGUzfXstQkCQ', '_LzAvouyQOmUpu_Fei97og', 'qLJZyg5zbPdnu7yEOWcS4Q', 'QZ3cfoU3qRyjDtbPnvcsPw']"
steak,steak,4,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'AnRtrp3uAEZWJIJfiuVchw', '1TFEy7twpPcFPXPPZvRVBw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
husband,husband,4,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'ypNwIPenE77OJ9klbBYZow', 'qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw']"
restaurants,restaurants,4,100,0,"['ypNwIPenE77OJ9klbBYZow', 'AnRtrp3uAEZWJIJfiuVchw', 'ODryH6OmnyipNsUgRWh2KA', 'QZ3cfoU3qRyjDtbPnvcsPw']"
fun,fun,2,100,0,"['c4CFmuZeBWeS9DNSiPwJFQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
decided,decided,4,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', '6R4MnLqSUftZnP701hHYKQ', 'nqnqAqKeLPDTKmp7t_7s0A']"
bed,bed,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'qLJZyg5zbPdnu7yEOWcS4Q']"
great food,great food,2,100,0,"['HX8SuA-ss6kFraRe3eiHZQ', 'AnRtrp3uAEZWJIJfiuVchw']"
wow,wow,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'gtc5YWKUpJ6bdmChBHBE5g']"
wi,wi,2,100,0,"['Xk41xO66IDmDfsHxcU9lbw', '9FQQxVdSk_4xuqIBzvUN9g']"
kitchen,kitchen,2,50,50,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'HX8SuA-ss6kFraRe3eiHZQ']"
restaurant,restaurant,9,66,33,"['9FQQxVdSk_4xuqIBzvUN9g', 'a14-CKEdqDKQ9FFqCqnlSg', 'QIQD9mAIJi3-dPC-mHBTbQ', '_LzAvouyQOmUpu_Fei97og', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q', 'zwvZRSXv-LBK4S8zkDSq_Q', 'QZ3cfoU3qRyjDtbPnvcsPw']"
asked,asked,5,100,0,"['sz3vax-yr104diI1-WCo_A', 'Y1esjrYEnPYGUzfXstQkCQ', 'nqnqAqKeLPDTKmp7t_7s0A', 'vHbn8Kek20VfdXtr-QXUVg', 'zwvZRSXv-LBK4S8zkDSq_Q']"
actual raspberries,actual raspberries,2,100,0,"['ODryH6OmnyipNsUgRWh2KA', '_12JjluBanmqfpQnNl5wSQ']"
walk,walk,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'vHbn8Kek20VfdXtr-QXUVg']"
table,table,5,80,20,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'qLJZyg5zbPdnu7yEOWcS4Q', 'nqnqAqKeLPDTKmp7t_7s0A', '9FQQxVdSk_4xuqIBzvUN9g', '_12JjluBanmqfpQnNl5wSQ']"
addition,addition,2,100,0,"['sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q']"
due,due,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'nqnqAqKeLPDTKmp7t_7s0A']"
seasoned,seasoned,2,100,0,"['loqouE-XAuFcDRcdlxRnhQ', 'HX8SuA-ss6kFraRe3eiHZQ']"
expected,expected,2,100,0,"['swSzPxOOjhJSw_6N1OZXrA', '_12JjluBanmqfpQnNl5wSQ']"
louisiana,louisiana,3,100,0,"['BhAqY5yi14TBm5eDeTlUDg', 'HX8SuA-ss6kFraRe3eiHZQ', 'chC_bz58cHcbNauF4H0Muw']"
raved,raved,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'Y1esjrYEnPYGUzfXstQkCQ']"
flavorful,flavorful,3,66,33,"['qLJZyg5zbPdnu7yEOWcS4Q', 'QIQD9mAIJi3-dPC-mHBTbQ', '_12JjluBanmqfpQnNl5wSQ']"
live jazz,live jazz,2,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', '6R4MnLqSUftZnP701hHYKQ']"
sort,sort,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw']"
pricey,pricey,2,50,50,"['UjV1OQSB0g5TJkdDD53_Gw', 'a6Mb8kUWBJhgIvuCl6P8TA']"
welcoming,welcoming,2,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'I93w9Kc-0RU12eZDRbcNqg']"
bill,bill,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'Go7AEgEVOFH8TQUBkj6pbw']"
weren,weren,4,100,0,"['WlB4wq4ry4FRru9uxy4XZg', 'qLJZyg5zbPdnu7yEOWcS4Q', 'nqnqAqKeLPDTKmp7t_7s0A', '_12JjluBanmqfpQnNl5wSQ']"
ve,ve,4,100,0,"['a6Mb8kUWBJhgIvuCl6P8TA', 'qLJZyg5zbPdnu7yEOWcS4Q', 'ODryH6OmnyipNsUgRWh2KA', 'QZ3cfoU3qRyjDtbPnvcsPw']"
wouldn,wouldn,4,75,25,"['swSzPxOOjhJSw_6N1OZXrA', 'ODryH6OmnyipNsUgRWh2KA', 'QIQD9mAIJi3-dPC-mHBTbQ', '_12JjluBanmqfpQnNl5wSQ']"
evening,evening,3,66,33,"['sz3vax-yr104diI1-WCo_A', 'nqnqAqKeLPDTKmp7t_7s0A', '_LzAvouyQOmUpu_Fei97og']"
piano player,piano player,3,66,33,"['nqnqAqKeLPDTKmp7t_7s0A', 'ODryH6OmnyipNsUgRWh2KA', '_LzAvouyQOmUpu_Fei97og']"
decor,decor,3,100,0,"['sz3vax-yr104diI1-WCo_A', 'Y1esjrYEnPYGUzfXstQkCQ', 'zadySdxEp2ED9CO42k22lw']"
$20,$20,3,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', 'HX8SuA-ss6kFraRe3eiHZQ']"
corn chowder,corn chowder,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '6R4MnLqSUftZnP701hHYKQ']"
catfish,catfish,3,100,0,"['a6Mb8kUWBJhgIvuCl6P8TA', 'Go7AEgEVOFH8TQUBkj6pbw', 'sjQxKIdhrhwbRTvn8XVt_Q']"
coworkers,coworkers,2,100,0,"['amss15HcUsp2PVC0iBC5dw', 'uwv745L_6dRM4YzKvfM4Gw']"
underground,underground,2,100,0,"['uD9slnbjoUeBITIFIyjwQw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
tomatoes,tomatoes,2,100,0,"['loqouE-XAuFcDRcdlxRnhQ', '6R4MnLqSUftZnP701hHYKQ']"
finish,finish,4,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'uD9slnbjoUeBITIFIyjwQw', 'sqfgS--np35F5o2XHqFlAw', 'sz3vax-yr104diI1-WCo_A']"
drink,drink,2,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'sjQxKIdhrhwbRTvn8XVt_Q']"
moment,moment,2,100,0,"['6R4MnLqSUftZnP701hHYKQ', 'vHbn8Kek20VfdXtr-QXUVg']"
anxious,anxious,2,100,0,"['1TFEy7twpPcFPXPPZvRVBw', '_12JjluBanmqfpQnNl5wSQ']"
fantastic,fantastic,3,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'HX8SuA-ss6kFraRe3eiHZQ', 'a14-CKEdqDKQ9FFqCqnlSg']"
puff pastry,puff pastry,2,100,0,"['uwv745L_6dRM4YzKvfM4Gw', 'AnRtrp3uAEZWJIJfiuVchw']"
thumbs,thumbs,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'Y1esjrYEnPYGUzfXstQkCQ']"
flavor,flavor,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q']"
recommended,recommended,2,100,0,"['1TFEy7twpPcFPXPPZvRVBw', '_12JjluBanmqfpQnNl5wSQ']"
excited,excited,3,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', '9FQQxVdSk_4xuqIBzvUN9g', 'sqfgS--np35F5o2XHqFlAw']"
surprised,surprised,3,66,33,"['ENQgulGSN9rYU9BlCtKM4Q', '6R4MnLqSUftZnP701hHYKQ', 'QIQD9mAIJi3-dPC-mHBTbQ']"
lacking,lacking,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'vHbn8Kek20VfdXtr-QXUVg']"
couple,couple,2,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'Y9xfpGSJPZywoL3VMZ0AaA']"
combination,combination,2,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'vHbn8Kek20VfdXtr-QXUVg']"
dark,dark,2,100,0,"['jIBNaoFtydbke3n1oVNr_A', 'qLJZyg5zbPdnu7yEOWcS4Q']"
background,background,2,100,0,"['T4LMlqm85ZqrRdVm4pl1Zg', 'zwvZRSXv-LBK4S8zkDSq_Q']"
world,world,2,100,0,"['Shfqe7csAXA6zXsuox_QcQ', 'chC_bz58cHcbNauF4H0Muw']"
bit,bit,4,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'PirkXZ2tktS_-RZNy_Jeiw', '6R4MnLqSUftZnP701hHYKQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
disappointed,disappointed,2,50,50,"['loqouE-XAuFcDRcdlxRnhQ', '_LzAvouyQOmUpu_Fei97og']"
inviting,inviting,2,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'AnRtrp3uAEZWJIJfiuVchw']"
lousianne,lousianne,2,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'qLJZyg5zbPdnu7yEOWcS4Q']"
night,night,8,100,0,"['9FQQxVdSk_4xuqIBzvUN9g', 'vHbn8Kek20VfdXtr-QXUVg', 'gUPteJ1yDiQ3fU0Q9gs_kQ', '6R4MnLqSUftZnP701hHYKQ', 'swSzPxOOjhJSw_6N1OZXrA', 'ENQgulGSN9rYU9BlCtKM4Q', 'PirkXZ2tktS_-RZNy_Jeiw', 'Y1esjrYEnPYGUzfXstQkCQ']"
served,served,5,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q', 'Go7AEgEVOFH8TQUBkj6pbw', 'AnRtrp3uAEZWJIJfiuVchw']"
live music,live music,4,75,25,"['chC_bz58cHcbNauF4H0Muw', 'vHbn8Kek20VfdXtr-QXUVg', 'QIQD9mAIJi3-dPC-mHBTbQ', '_12JjluBanmqfpQnNl5wSQ']"
people,people,3,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'I93w9Kc-0RU12eZDRbcNqg', 'qLJZyg5zbPdnu7yEOWcS4Q']"
absolutely,absolutely,2,100,0,"['ypNwIPenE77OJ9klbBYZow', 'Y1esjrYEnPYGUzfXstQkCQ']"
date night,date night,2,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'CxBfCjnKPRuDIkzXUaCWPw']"
back,back,9,100,0,"['sz3vax-yr104diI1-WCo_A', 'a14-CKEdqDKQ9FFqCqnlSg', 'AnRtrp3uAEZWJIJfiuVchw', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'sjQxKIdhrhwbRTvn8XVt_Q', '_12JjluBanmqfpQnNl5wSQ', 'I93w9Kc-0RU12eZDRbcNqg', 'uwv745L_6dRM4YzKvfM4Gw', 'gtc5YWKUpJ6bdmChBHBE5g']"
escargot,escargot,6,100,0,"['uD9slnbjoUeBITIFIyjwQw', 'AnRtrp3uAEZWJIJfiuVchw', 'amss15HcUsp2PVC0iBC5dw', 'JVrGn1gjDLr4c2aDke9IXQ', 'uwv745L_6dRM4YzKvfM4Gw', 'gtc5YWKUpJ6bdmChBHBE5g']"
server,server,4,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', '9FQQxVdSk_4xuqIBzvUN9g', 'Go7AEgEVOFH8TQUBkj6pbw', 'sjQxKIdhrhwbRTvn8XVt_Q']"
recently,recently,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw']"
drenched,drenched,3,100,0,"['WlB4wq4ry4FRru9uxy4XZg', '9FQQxVdSk_4xuqIBzvUN9g', 'uwv745L_6dRM4YzKvfM4Gw']"
wine list,wine list,4,75,25,"['ypNwIPenE77OJ9klbBYZow', 'PirkXZ2tktS_-RZNy_Jeiw', '_LzAvouyQOmUpu_Fei97og', 'AnRtrp3uAEZWJIJfiuVchw']"
steps,steps,2,50,50,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 's6TKXDkzihTGGn05wjcNbA']"
price,price,2,50,50,"['swSzPxOOjhJSw_6N1OZXrA', 'KAtPlJ8FwQ1fGiLSiBWwEQ']"
friday night,friday night,2,50,50,"['qLJZyg5zbPdnu7yEOWcS4Q', 'QIQD9mAIJi3-dPC-mHBTbQ']"
pasta,pasta,3,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'swSzPxOOjhJSw_6N1OZXrA', 'qLJZyg5zbPdnu7yEOWcS4Q']"
side,side,2,50,50,"['6R4MnLqSUftZnP701hHYKQ', 'QIQD9mAIJi3-dPC-mHBTbQ']"
dinner,dinner,8,87,12,"['Y9xfpGSJPZywoL3VMZ0AaA', 'nqnqAqKeLPDTKmp7t_7s0A', 'AnRtrp3uAEZWJIJfiuVchw', '6R4MnLqSUftZnP701hHYKQ', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'r-OH_PlJVEf8JZifHssnHg', 'zwvZRSXv-LBK4S8zkDSq_Q']"
socks,socks,2,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'JVrGn1gjDLr4c2aDke9IXQ']"
middleton,middleton,3,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'qLJZyg5zbPdnu7yEOWcS4Q', 'ODryH6OmnyipNsUgRWh2KA']"
reservation,reservation,4,100,0,"['ypNwIPenE77OJ9klbBYZow', 'BhAqY5yi14TBm5eDeTlUDg', 'CxBfCjnKPRuDIkzXUaCWPw', '_12JjluBanmqfpQnNl5wSQ']"
impressed,impressed,3,100,0,"['Shfqe7csAXA6zXsuox_QcQ', '6R4MnLqSUftZnP701hHYKQ', 'sjQxKIdhrhwbRTvn8XVt_Q']"
desert,desert,3,100,0,"['sz3vax-yr104diI1-WCo_A', 'Go7AEgEVOFH8TQUBkj6pbw', 'chC_bz58cHcbNauF4H0Muw']"
crawfish cheesecake,crawfish cheesecake,3,100,0,"['sz3vax-yr104diI1-WCo_A', 'chC_bz58cHcbNauF4H0Muw', '_12JjluBanmqfpQnNl5wSQ']"
lot,lot,2,50,50,"['qLJZyg5zbPdnu7yEOWcS4Q', 'QIQD9mAIJi3-dPC-mHBTbQ']"
offer,offer,2,100,0,"['AnRtrp3uAEZWJIJfiuVchw', '_12JjluBanmqfpQnNl5wSQ']"
cream sauce,cream sauce,2,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ']"
recommend,recommend,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'swSzPxOOjhJSw_6N1OZXrA']"
roasted shrimp,roasted shrimp,2,100,0,"['6R4MnLqSUftZnP701hHYKQ', 'QZ3cfoU3qRyjDtbPnvcsPw']"
eat,eat,5,100,0,"['Xk41xO66IDmDfsHxcU9lbw', 'nqnqAqKeLPDTKmp7t_7s0A', '6R4MnLqSUftZnP701hHYKQ', '9FQQxVdSk_4xuqIBzvUN9g', 'QZ3cfoU3qRyjDtbPnvcsPw']"
made,made,5,100,0,"['loqouE-XAuFcDRcdlxRnhQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'AnRtrp3uAEZWJIJfiuVchw', 'vHbn8Kek20VfdXtr-QXUVg', 'sz3vax-yr104diI1-WCo_A']"
yelp,yelp,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g']"
places,places,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'uD9slnbjoUeBITIFIyjwQw']"
piece,piece,2,100,0,"['s6TKXDkzihTGGn05wjcNbA', '_12JjluBanmqfpQnNl5wSQ']"
seafood,seafood,4,100,0,"['BhAqY5yi14TBm5eDeTlUDg', 'wsjvl5gLfcctdcKim8odEw', 'HX8SuA-ss6kFraRe3eiHZQ', 'AnRtrp3uAEZWJIJfiuVchw']"
expect,expect,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw']"
ordered,ordered,9,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', '9FQQxVdSk_4xuqIBzvUN9g', 'a6Mb8kUWBJhgIvuCl6P8TA', 'sjQxKIdhrhwbRTvn8XVt_Q', '_12JjluBanmqfpQnNl5wSQ', 'loqouE-XAuFcDRcdlxRnhQ', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q', '1TFEy7twpPcFPXPPZvRVBw']"
taste,taste,2,100,0,"['9FQQxVdSk_4xuqIBzvUN9g', 'AnRtrp3uAEZWJIJfiuVchw']"
reservations,reservations,3,100,0,"['sz3vax-yr104diI1-WCo_A', 'vHbn8Kek20VfdXtr-QXUVg', 'zwvZRSXv-LBK4S8zkDSq_Q']"
tasty,tasty,3,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', '6R4MnLqSUftZnP701hHYKQ', '_12JjluBanmqfpQnNl5wSQ']"
check,check,3,100,0,"['sz3vax-yr104diI1-WCo_A', '9FQQxVdSk_4xuqIBzvUN9g', 'vHbn8Kek20VfdXtr-QXUVg']"
incredible,incredible,2,100,0,"['zadySdxEp2ED9CO42k22lw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
topped,topped,3,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'AnRtrp3uAEZWJIJfiuVchw', 'uwv745L_6dRM4YzKvfM4Gw']"
nice,nice,4,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', '6R4MnLqSUftZnP701hHYKQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
